Starting CPU scheduling experiment
Number of processes: 30
Total runtime: 1000 ms
Sampling interval: 100 ms
Loops per millisecond: 3775012
Loops per interval: 377501200
Estimating workload which takes just one millisecond...
Start time: 2024-12-19T13:23:31.750521+08:00

Worker ID  PID        Elapsed (ms)    Progress (%)    Current Time                  
5          40514      100             10.00           2024-12-19T13:23:32.656365+08:00
3          40512      100             10.00           2024-12-19T13:23:32.699542+08:00
3          40512      100             10.00           2024-12-19T13:23:32.772726+08:00
24         40510      100             10.00           2024-12-19T13:23:32.788072+08:00
24         40510      100             10.00           2024-12-19T13:23:32.857615+08:00
23         40516      100             10.00           2024-12-19T13:23:32.804468+08:00
23         40516      100             10.00           2024-12-19T13:23:32.861281+08:00
29         40509      100             10.00           2024-12-19T13:23:32.834956+08:00
29         40509      100             10.00           2024-12-19T13:23:32.861374+08:00
20         40517      100             10.00           2024-12-19T13:23:32.80633+08:00
11         40511      100             10.00           2024-12-19T13:23:32.836344+08:00
4          40513      100             10.00           2024-12-19T13:23:32.853034+08:00
26         40519      100             10.00           2024-12-19T13:23:32.860423+08:00
20         40517      200             20.00           2024-12-19T13:23:32.925125+08:00
3          40512      200             20.00           2024-12-19T13:23:32.927609+08:00
17         40518      200             20.00           2024-12-19T13:23:32.879394+08:00
0          40515      100             10.00           2024-12-19T13:23:32.921773+08:00
5          40514      200             20.00           2024-12-19T13:23:32.962103+08:00
23         40516      200             20.00           2024-12-19T13:23:32.965061+08:00
0          40515      200             20.00           2024-12-19T13:23:32.98124+08:00
4          40513      300             30.00           2024-12-19T13:23:32.985735+08:00
11         40511      200             20.00           2024-12-19T13:23:32.998888+08:00
20         40517      300             30.00           2024-12-19T13:23:32.99996+08:00
18         40520      100             10.00           2024-12-19T13:23:32.959866+08:00
18         40520      100             10.00           2024-12-19T13:23:33.019857+08:00
26         40519      200             20.00           2024-12-19T13:23:33.03468+08:00
24         40510      300             30.00           2024-12-19T13:23:33.04283+08:00
29         40509      300             30.00           2024-12-19T13:23:33.045171+08:00
17         40518      300             30.00           2024-12-19T13:23:33.070439+08:00
1          40521      100             10.00           2024-12-19T13:23:33.080093+08:00
1          40521      100             10.00           2024-12-19T13:23:33.09954+08:00
3          40512      300             30.00           2024-12-19T13:23:33.108169+08:00
0          40515      400             40.00           2024-12-19T13:23:33.11341+08:00
5          40514      300             30.00           2024-12-19T13:23:33.131624+08:00
18         40520      200             20.00           2024-12-19T13:23:33.141089+08:00
0          40515      500             50.00           2024-12-19T13:23:33.159356+08:00
4          40513      400             40.00           2024-12-19T13:23:33.159493+08:00
25         40523      100             10.00           2024-12-19T13:23:33.128782+08:00
22         40522      100             10.00           2024-12-19T13:23:33.135811+08:00
21         40529      100             10.00           2024-12-19T13:23:33.139288+08:00
3          40512      400             40.00           2024-12-19T13:23:33.172209+08:00
20         40517      400             40.00           2024-12-19T13:23:33.173191+08:00
8          40524      200             20.00           2024-12-19T13:23:33.152623+08:00
15         40528      100             10.00           2024-12-19T13:23:33.160646+08:00
18         40520      300             30.00           2024-12-19T13:23:33.181891+08:00
16         40527      100             10.00           2024-12-19T13:23:33.18355+08:00
26         40519      400             40.00           2024-12-19T13:23:33.19446+08:00
11         40511      300             30.00           2024-12-19T13:23:33.2005+08:00
23         40516      300             30.00           2024-12-19T13:23:33.200794+08:00
17         40518      400             40.00           2024-12-19T13:23:33.209217+08:00
21         40529      200             20.00           2024-12-19T13:23:33.214586+08:00
29         40509      400             40.00           2024-12-19T13:23:33.219693+08:00
1          40521      200             20.00           2024-12-19T13:23:33.23017+08:00
25         40523      300             30.00           2024-12-19T13:23:33.237214+08:00
24         40510      400             40.00           2024-12-19T13:23:33.239676+08:00
8          40524      300             30.00           2024-12-19T13:23:33.246214+08:00
22         40522      300             30.00           2024-12-19T13:23:33.246605+08:00
2          40530      100             10.00           2024-12-19T13:23:33.189806+08:00
2          40530      100             10.00           2024-12-19T13:23:33.248946+08:00
6          40533      100             10.00           2024-12-19T13:23:33.220702+08:00
28         40535      100             10.00           2024-12-19T13:23:33.19096+08:00
12         40536      100             10.00           2024-12-19T13:23:33.212457+08:00
0          40515      600             60.00           2024-12-19T13:23:33.270805+08:00
16         40527      200             20.00           2024-12-19T13:23:33.288968+08:00
5          40514      400             40.00           2024-12-19T13:23:33.294349+08:00
15         40528      200             20.00           2024-12-19T13:23:33.306791+08:00
4          40513      500             50.00           2024-12-19T13:23:33.315004+08:00
25         40523      400             40.00           2024-12-19T13:23:33.316704+08:00
17         40518      500             50.00           2024-12-19T13:23:33.320992+08:00
11         40511      400             40.00           2024-12-19T13:23:33.325743+08:00
20         40517      500             50.00           2024-12-19T13:23:33.326613+08:00
13         40537      100             10.00           2024-12-19T13:23:33.241196+08:00
13         40537      100             10.00           2024-12-19T13:23:33.326942+08:00
