Starting CPU scheduling experiment
Number of processes: 10
Total runtime: 1000 ms
Sampling interval: 100 ms
Loops per millisecond: 3838776
Loops per interval: 383877600
Estimating workload which takes just one millisecond...
Start time: 2024-12-19T13:23:24.36912+08:00

Worker ID  PID        Elapsed (ms)    Progress (%)    Current Time                  
2          40450      100             10.00           2024-12-19T13:23:25.047076+08:00
7          40449      100             10.00           2024-12-19T13:23:25.059762+08:00
6          40444      100             10.00           2024-12-19T13:23:25.060355+08:00
3          40442      100             10.00           2024-12-19T13:23:25.066359+08:00
2          40450      200             20.00           2024-12-19T13:23:25.148982+08:00
0          40448      200             20.00           2024-12-19T13:23:25.150368+08:00
1          40446      200             20.00           2024-12-19T13:23:25.156275+08:00
7          40449      200             20.00           2024-12-19T13:23:25.15969+08:00
9          40441      200             20.00           2024-12-19T13:23:25.162911+08:00
3          40442      200             20.00           2024-12-19T13:23:25.163756+08:00
5          40445      200             20.00           2024-12-19T13:23:25.165268+08:00
6          40444      200             20.00           2024-12-19T13:23:25.169338+08:00
4          40443      200             20.00           2024-12-19T13:23:25.171987+08:00
8          40447      200             20.00           2024-12-19T13:23:25.176626+08:00
2          40450      300             30.00           2024-12-19T13:23:25.24938+08:00
1          40446      300             30.00           2024-12-19T13:23:25.25446+08:00
0          40448      300             30.00           2024-12-19T13:23:25.257908+08:00
9          40441      300             30.00           2024-12-19T13:23:25.258489+08:00
5          40445      300             30.00           2024-12-19T13:23:25.260939+08:00
7          40449      300             30.00           2024-12-19T13:23:25.267867+08:00
4          40443      300             30.00           2024-12-19T13:23:25.268018+08:00
6          40444      300             30.00           2024-12-19T13:23:25.270442+08:00
8          40447      300             30.00           2024-12-19T13:23:25.27607+08:00
9          40441      400             40.00           2024-12-19T13:23:25.35502+08:00
1          40446      400             40.00           2024-12-19T13:23:25.35667+08:00
3          40442      400             40.00           2024-12-19T13:23:25.357658+08:00
5          40445      400             40.00           2024-12-19T13:23:25.357731+08:00
2          40450      400             40.00           2024-12-19T13:23:25.358218+08:00
4          40443      400             40.00           2024-12-19T13:23:25.363328+08:00
0          40448      400             40.00           2024-12-19T13:23:25.364954+08:00
8          40447      400             40.00           2024-12-19T13:23:25.369474+08:00
7          40449      400             40.00           2024-12-19T13:23:25.373774+08:00
6          40444      400             40.00           2024-12-19T13:23:25.380248+08:00
9          40441      500             50.00           2024-12-19T13:23:25.45426+08:00
1          40446      500             50.00           2024-12-19T13:23:25.459495+08:00
4          40443      500             50.00           2024-12-19T13:23:25.463671+08:00
5          40445      500             50.00           2024-12-19T13:23:25.465398+08:00
3          40442      500             50.00           2024-12-19T13:23:25.467929+08:00
8          40447      500             50.00           2024-12-19T13:23:25.469556+08:00
7          40449      500             50.00           2024-12-19T13:23:25.475973+08:00
0          40448      500             50.00           2024-12-19T13:23:25.478451+08:00
2          40450      500             50.00           2024-12-19T13:23:25.478751+08:00
6          40444      500             50.00           2024-12-19T13:23:25.482084+08:00
4          40443      600             60.00           2024-12-19T13:23:25.55702+08:00
1          40446      600             60.00           2024-12-19T13:23:25.55925+08:00
8          40447      600             60.00           2024-12-19T13:23:25.562057+08:00
9          40441      600             60.00           2024-12-19T13:23:25.562672+08:00
5          40445      600             60.00           2024-12-19T13:23:25.565144+08:00
3          40442      600             60.00           2024-12-19T13:23:25.571028+08:00
7          40449      600             60.00           2024-12-19T13:23:25.575612+08:00
0          40448      600             60.00           2024-12-19T13:23:25.58122+08:00
6          40444      600             60.00           2024-12-19T13:23:25.583342+08:00
2          40450      600             60.00           2024-12-19T13:23:25.58563+08:00
1          40446      700             70.00           2024-12-19T13:23:25.654443+08:00
4          40443      700             70.00           2024-12-19T13:23:25.656141+08:00
9          40441      700             70.00           2024-12-19T13:23:25.659979+08:00
5          40445      700             70.00           2024-12-19T13:23:25.661018+08:00
8          40447      700             70.00           2024-12-19T13:23:25.664259+08:00
3          40442      700             70.00           2024-12-19T13:23:25.672748+08:00
7          40449      700             70.00           2024-12-19T13:23:25.677453+08:00
0          40448      700             70.00           2024-12-19T13:23:25.682406+08:00
6          40444      700             70.00           2024-12-19T13:23:25.689883+08:00
2          40450      700             70.00           2024-12-19T13:23:25.69527+08:00
4          40443      800             80.00           2024-12-19T13:23:25.755386+08:00
1          40446      800             80.00           2024-12-19T13:23:25.757816+08:00
8          40447      800             80.00           2024-12-19T13:23:25.759429+08:00
5          40445      800             80.00           2024-12-19T13:23:25.764437+08:00
9          40441      800             80.00           2024-12-19T13:23:25.766876+08:00
3          40442      800             80.00           2024-12-19T13:23:25.777117+08:00
0          40448      800             80.00           2024-12-19T13:23:25.784378+08:00
7          40449      800             80.00           2024-12-19T13:23:25.787034+08:00
6          40444      800             80.00           2024-12-19T13:23:25.794415+08:00
2          40450      800             80.00           2024-12-19T13:23:25.810522+08:00
8          40447      900             90.00           2024-12-19T13:23:25.85869+08:00
1          40446      900             90.00           2024-12-19T13:23:25.861985+08:00
4          40443      900             90.00           2024-12-19T13:23:25.864459+08:00
9          40441      900             90.00           2024-12-19T13:23:25.869626+08:00
5          40445      900             90.00           2024-12-19T13:23:25.869991+08:00
3          40442      900             90.00           2024-12-19T13:23:25.884192+08:00
0          40448      900             90.00           2024-12-19T13:23:25.88832+08:00
7          40449      900             90.00           2024-12-19T13:23:25.891369+08:00
6          40444      900             90.00           2024-12-19T13:23:25.899854+08:00
2          40450      900             90.00           2024-12-19T13:23:25.921016+08:00
8          40447      1000            100.00          2024-12-19T13:23:25.958893+08:00
1          40446      1000            100.00          2024-12-19T13:23:25.968604+08:00
4          40443      1000            100.00          2024-12-19T13:23:25.969186+08:00
5          40445      1000            100.00          2024-12-19T13:23:25.973935+08:00
9          40441      1000            100.00          2024-12-19T13:23:25.978919+08:00
3          40442      1000            100.00          2024-12-19T13:23:25.990077+08:00
0          40448      1000            100.00          2024-12-19T13:23:25.992452+08:00
7          40449      1000            100.00          2024-12-19T13:23:26.002414+08:00
6          40444      1000            100.00          2024-12-19T13:23:26.004257+08:00
2          40450      1000            100.00          2024-12-19T13:23:26.021716+08:00

Experiment completed at 2024-12-19T13:23:26.021915+08:00
Total duration: 1.6527955s
