Worker ID  PID        Elapsed (ms)    Progress (%)    Current Time
10         85551      700             7.00            2024-12-18T14:47:03.544193+08:00
5          85544      572             5.72            2024-12-18T14:47:03.554353+08:00
20         85548      640             6.40            2024-12-18T14:47:03.559345+08:00
11         85555      558             5.58            2024-12-18T14:47:03.561754+08:00
14         85553      337             3.37            2024-12-18T14:47:03.565502+08:00
12         85556      516             5.16            2024-12-18T14:47:03.569203+08:00
9          85558      526             5.26            2024-12-18T14:47:03.571934+08:00
0          85552      715             7.15            2024-12-18T14:47:03.574961+08:00
17         85550      744             7.44            2024-12-18T14:47:03.579563+08:00
1          85554      567             5.67            2024-12-18T14:47:03.584005+08:00
18         85542      709             7.09            2024-12-18T14:47:03.584055+08:00
21         85543      702             7.02            2024-12-18T14:47:03.58728+08:00
8          85557      564             5.64            2024-12-18T14:47:03.596204+08:00
3          85559      579             5.79            2024-12-18T14:47:03.597442+08:00
22         85549      786             7.86            2024-12-18T14:47:03.599488+08:00
2          85560      578             5.78            2024-12-18T14:47:03.604223+08:00
16         85540      712             7.12            2024-12-18T14:47:03.604694+08:00
19         85541      742             7.42            2024-12-18T14:47:03.609116+08:00
4          85545      700             7.00            2024-12-18T14:47:03.610883+08:00
7          85561      563             5.63            2024-12-18T14:47:03.627205+08:00
13         85547      780             7.80            2024-12-18T14:47:03.637949+08:00
15         85562      596             5.96            2024-12-18T14:47:03.646197+08:00
3          85559      631             6.31            2024-12-18T14:47:03.650338+08:00
0          85552      800             8.00            2024-12-18T14:47:03.659334+08:00
14         85553      437             4.37            2024-12-18T14:47:03.665706+08:00
23         85546      704             7.04            2024-12-18T14:47:03.6766+08:00
10         85551      833             8.33            2024-12-18T14:47:03.677974+08:00
6          85563      529             5.29            2024-12-18T14:47:03.683365+08:00
21         85543      800             8.00            2024-12-18T14:47:03.684877+08:00
20         85548      769             7.69            2024-12-18T14:47:03.688122+08:00
7          85561      626             6.26            2024-12-18T14:47:03.690599+08:00
12         85556      653             6.53            2024-12-18T14:47:03.705843+08:00
5          85544      728             7.28            2024-12-18T14:47:03.71024+08:00
3          85559      700             7.00            2024-12-18T14:47:03.718487+08:00
9          85558      677             6.77            2024-12-18T14:47:03.722693+08:00
4          85545      814             8.14            2024-12-18T14:47:03.725328+08:00
16         85540      848             8.48            2024-12-18T14:47:03.740716+08:00
8          85557      709             7.09            2024-12-18T14:47:03.741243+08:00
1          85554      725             7.25            2024-12-18T14:47:03.741784+08:00
17         85550      910             9.10            2024-12-18T14:47:03.74545+08:00
18         85542      871             8.71            2024-12-18T14:47:03.745875+08:00
11         85555      748             7.48            2024-12-18T14:47:03.752454+08:00
2          85560      729             7.29            2024-12-18T14:47:03.755417+08:00
19         85541      896             8.96            2024-12-18T14:47:03.76343+08:00
7          85561      700             7.00            2024-12-18T14:47:03.764084+08:00
14         85553      543             5.43            2024-12-18T14:47:03.771583+08:00
13         85547      918             9.18            2024-12-18T14:47:03.775557+08:00
0          85552      919             9.19            2024-12-18T14:47:03.779177+08:00
6          85563      628             6.28            2024-12-18T14:47:03.781909+08:00
23         85546      810             8.10            2024-12-18T14:47:03.783002+08:00
22         85549      979             9.79            2024-12-18T14:47:03.791992+08:00
21         85543      912             9.12            2024-12-18T14:47:03.797342+08:00
11         85555      800             8.00            2024-12-18T14:47:03.8037+08:00
15         85562      754             7.54            2024-12-18T14:47:03.803985+08:00
12         85556      764             7.64            2024-12-18T14:47:03.817612+08:00
20         85548      900             9.00            2024-12-18T14:47:03.818582+08:00
10         85551      988             9.88            2024-12-18T14:47:03.832255+08:00
5          85544      853             8.53            2024-12-18T14:47:03.835157+08:00
9          85558      810             8.10            2024-12-18T14:47:03.855582+08:00
4          85545      945             9.45            2024-12-18T14:47:03.856353+08:00
8          85557      828             8.28            2024-12-18T14:47:03.860645+08:00
15         85562      814             8.14            2024-12-18T14:47:03.863472+08:00
14         85553      639             6.39            2024-12-18T14:47:03.867177+08:00
23         85546      900             9.00            2024-12-18T14:47:03.872379+08:00
18         85542      1005            10.05           2024-12-18T14:47:03.879981+08:00
16         85540      988             9.88            2024-12-18T14:47:03.88074+08:00
3          85559      865             8.65            2024-12-18T14:47:03.883999+08:00
17         85550      1054            10.54           2024-12-18T14:47:03.889596+08:00
2          85560      868             8.68            2024-12-18T14:47:03.89374+08:00
1          85554      878             8.78            2024-12-18T14:47:03.895072+08:00
