Starting CPU scheduling experiment
Number of processes: 20
Total runtime: 1000 ms
Sampling interval: 100 ms
Loops per millisecond: 4003971
Loops per interval: 400397100
Estimating workload which takes just one millisecond...
Start time: 2024-12-19T13:23:27.820862+08:00

Worker ID  PID        Elapsed (ms)    Progress (%)    Current Time                  
7          40469      700             70.00           2024-12-19T13:23:29.348987+08:00
10         40472      700             70.00           2024-12-19T13:23:29.353697+08:00
2          40482      600             60.00           2024-12-19T13:23:29.366654+08:00
12         40473      700             70.00           2024-12-19T13:23:29.366682+08:00
11         40477      800             80.00           2024-12-19T13:23:29.37191+08:00
4          40476      700             70.00           2024-12-19T13:23:29.391604+08:00
16         40475      900             90.00           2024-12-19T13:23:29.397148+08:00
13         40483      500             50.00           2024-12-19T13:23:29.399588+08:00
9          40478      800             80.00           2024-12-19T13:23:29.404069+08:00
14         40471      600             60.00           2024-12-19T13:23:29.405343+08:00
18         40481      600             60.00           2024-12-19T13:23:29.407331+08:00
15         40480      500             50.00           2024-12-19T13:23:29.410209+08:00
1          40487      500             50.00           2024-12-19T13:23:29.426672+08:00
19         40468      800             80.00           2024-12-19T13:23:29.430726+08:00
8          40479      800             80.00           2024-12-19T13:23:29.44893+08:00
0          40486      400             40.00           2024-12-19T13:23:29.453804+08:00
7          40469      800             80.00           2024-12-19T13:23:29.458246+08:00
3          40484      600             60.00           2024-12-19T13:23:29.458742+08:00
6          40470      800             80.00           2024-12-19T13:23:29.460438+08:00
12         40473      800             80.00           2024-12-19T13:23:29.468956+08:00
5          40474      800             80.00           2024-12-19T13:23:29.458293+08:00
13         40483      600             60.00           2024-12-19T13:23:29.47484+08:00
2          40482      700             70.00           2024-12-19T13:23:29.478759+08:00
10         40472      800             80.00           2024-12-19T13:23:29.485245+08:00
17         40485      600             60.00           2024-12-19T13:23:29.496143+08:00
11         40477      900             90.00           2024-12-19T13:23:29.501678+08:00
16         40475      1000            100.00          2024-12-19T13:23:29.502949+08:00
9          40478      900             90.00           2024-12-19T13:23:29.509094+08:00
18         40481      700             70.00           2024-12-19T13:23:29.515+08:00 
15         40480      600             60.00           2024-12-19T13:23:29.52022+08:00
19         40468      900             90.00           2024-12-19T13:23:29.527557+08:00
14         40471      700             70.00           2024-12-19T13:23:29.533575+08:00
3          40484      700             70.00           2024-12-19T13:23:29.546711+08:00
5          40474      900             90.00           2024-12-19T13:23:29.547991+08:00
4          40476      800             80.00           2024-12-19T13:23:29.553039+08:00
8          40479      900             90.00           2024-12-19T13:23:29.562925+08:00
13         40483      800             80.00           2024-12-19T13:23:29.572862+08:00
6          40470      900             90.00           2024-12-19T13:23:29.576941+08:00
7          40469      900             90.00           2024-12-19T13:23:29.577839+08:00
12         40473      900             90.00           2024-12-19T13:23:29.582447+08:00
0          40486      500             50.00           2024-12-19T13:23:29.587163+08:00
2          40482      800             80.00           2024-12-19T13:23:29.588143+08:00
11         40477      1000            100.00          2024-12-19T13:23:29.594148+08:00
1          40487      600             60.00           2024-12-19T13:23:29.604648+08:00
10         40472      900             90.00           2024-12-19T13:23:29.62227+08:00
9          40478      1000            100.00          2024-12-19T13:23:29.631919+08:00
18         40481      900             90.00           2024-12-19T13:23:29.63768+08:00
19         40468      1000            100.00          2024-12-19T13:23:29.639715+08:00
17         40485      700             70.00           2024-12-19T13:23:29.641238+08:00
2          40482      900             90.00           2024-12-19T13:23:29.646586+08:00
14         40471      800             80.00           2024-12-19T13:23:29.651424+08:00
15         40480      800             80.00           2024-12-19T13:23:29.657982+08:00
3          40484      800             80.00           2024-12-19T13:23:29.688519+08:00
8          40479      1000            100.00          2024-12-19T13:23:29.699828+08:00
5          40474      1000            100.00          2024-12-19T13:23:29.70367+08:00
6          40470      1000            100.00          2024-12-19T13:23:29.709654+08:00
7          40469      1000            100.00          2024-12-19T13:23:29.711647+08:00
15         40480      900             90.00           2024-12-19T13:23:29.714139+08:00
12         40473      1000            100.00          2024-12-19T13:23:29.716547+08:00
13         40483      1000            100.00          2024-12-19T13:23:29.717284+08:00
10         40472      1000            100.00          2024-12-19T13:23:29.724233+08:00
4          40476      900             90.00           2024-12-19T13:23:29.730506+08:00
14         40471      900             90.00           2024-12-19T13:23:29.735531+08:00
0          40486      700             70.00           2024-12-19T13:23:29.738219+08:00
17         40485      800             80.00           2024-12-19T13:23:29.747561+08:00
1          40487      700             70.00           2024-12-19T13:23:29.747716+08:00
3          40484      900             90.00           2024-12-19T13:23:29.765391+08:00
4          40476      1000            100.00          2024-12-19T13:23:29.804611+08:00
0          40486      800             80.00           2024-12-19T13:23:29.812228+08:00
17         40485      900             90.00           2024-12-19T13:23:29.816583+08:00
3          40484      1000            100.00          2024-12-19T13:23:29.824881+08:00
1          40487      800             80.00           2024-12-19T13:23:29.826319+08:00
0          40486      900             90.00           2024-12-19T13:23:29.88526+08:00
1          40487      900             90.00           2024-12-19T13:23:29.901114+08:00

Experiment completed at 2024-12-19T13:23:29.970983+08:00
Total duration: 2.150135792s
